github.com/AlDanial/cloc v 1.96  T=307.88 s (52.7 files/s, 7356.8 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
JavaScript                   10911         145423         146168         936677
Text                            51           1308              0         593871
Arduino Sketch                4213          38810          17951         275735
HTML                           862           1991            200          57084
CSV                              4              0              0          21779
JSON                            19              7              0          21152
CSS                            100            405            153           2715
GLSL                            32            426            169           1219
Java                             1             81            123            941
SVG                             22              1              3            466
Python                           1             40             18             76
INI                              1              1              0              4
Markdown                         1              1              0              4
Properties                       1              0              0              2
-------------------------------------------------------------------------------
SUM:                         16219         188494         164785        1911725
-------------------------------------------------------------------------------
