,sloc_physical_mod_list,sloc_logical_mod_list,param_mod_list
0,119,87,9
1,53,37,0
2,422,207,0
3,310,189,28
4,121,62,0
5,39,0,0
6,115,91,1
7,59,28,8
8,21,17,1
9,67,43,1
10,20,0,0
11,25,16,2
12,358,209,6
13,1,0,0
14,1,0,0
15,1,0,0
16,1,0,0
17,27,24,0
18,59,28,8
19,82,1391,288
20,18,12,0
21,1,23835,4928
22,30,24,0
23,431,7932,1577
24,17528,9965,1998
25,7,5916,1972
26,53,35,1
27,143,116,2
28,140,125,0
29,69,51,0
30,38,25,0
31,1009,457,109
32,133,62,3
33,23,10,0
34,60,43,10
35,440,269,20
36,149,59,5
37,222,88,5
38,136,53,5
39,180,72,5
40,149,82,7
41,517,252,8
42,110,64,2
43,87,54,3
44,82,39,4
45,120,86,3
46,46,26,0
47,25,22,0
48,51,38,0
49,53,35,0
50,110,61,7
51,9,5,0
52,31,27,0
53,313,201,8
54,149,82,7
55,50,48,0
56,304,252,0
57,76,57,2
58,46,31,0
59,58,32,6
60,193,104,9
61,46,34,0
62,37,23,0
63,99,74,6
64,33,26,0
65,73,45,0
66,44,34,3
67,205,153,0
68,93,55,3
69,266,202,0
70,177,64,0
71,150,100,4
72,54,42,0
73,44,39,3
74,40,32,0
75,183,99,11
76,157,107,11
77,487,208,16
78,48,34,0
79,25,17,4
80,30,19,0
81,34,21,0
82,30,20,1
83,91,46,0
84,54,42,0
85,84,57,0
86,156,109,0
87,15,10,0
88,83,54,0
89,54,41,0
90,79,49,0
91,79,48,0
92,82,52,0
93,267,203,0
94,112,63,2
95,16,12,0
96,79,49,0
97,89,60,0
98,79,49,0
99,427,311,32
100,90,59,0
101,25,17,4
102,52,48,0
103,24,20,0
104,57,36,1
105,172,100,15
106,1009,457,109
107,135,63,3
108,48,34,3
109,134,108,2
110,79,49,0
111,89,59,0
112,248,136,25
113,185,124,15
114,227,141,22
115,265,156,28
116,111,85,9
117,45,33,0
118,62,49,0
119,70,45,0
120,44,27,0
121,47,37,0
122,60,40,0
123,38,30,0
124,19,14,0
125,230,123,6
126,33,22,0
127,52,35,2
128,62,41,0
129,511,324,7
130,17,12,0
131,12,8,0
132,185,131,0
133,315,241,0
134,60,46,0
135,266,202,0
136,29,22,0
137,22,15,0
138,327,219,8
139,208,118,2
140,34,21,3
141,120,76,8
142,101,64,4
143,18,12,7
144,43,27,0
145,476,314,35
146,498,433,30
147,77,31,8
148,96,58,0
149,113,64,0
150,87,58,5
151,103,87,8
152,94,78,8
153,85,63,2
154,139,95,12
155,39,31,0
156,60,46,0
157,100,61,0
158,100,61,0
159,58,40,2
160,60,41,0
161,44,33,0
162,124,77,7
163,1,0,0
164,26,18,4
165,28,23,0
166,115,97,16
167,93,65,0
168,189,103,13
169,107,67,7
170,24,20,0
171,9,6,0
172,17,13,0
173,28,16,0
174,18,15,0
175,35,24,0
176,26,14,0
177,12,9,0
178,27,19,0
179,37,26,0
180,124,77,7
181,1,0,0
182,101,60,2
183,46,34,0
184,78,55,0
185,44,27,8
186,17,10,0
187,62,47,0
188,1009,457,109
189,135,64,3
190,25,22,0
191,106,72,5
192,61,40,0
193,38,23,0
194,47,38,0
195,44,28,1
196,82,1391,288
197,164,81,7
198,62,50,1
199,40,24,0
200,50,36,0
201,346,368,39
202,164,97,5
203,136,83,6
204,167,133,3
205,121,85,4
206,84,68,8
207,52,44,0
208,47,31,0
209,168,105,8
210,65,43,0
211,69,48,0
212,71,50,0
213,471,447,0
214,43,9,0
215,47,26,0
216,75,57,0
217,47,31,0
218,82,52,2
219,83,52,2
220,198,61,0
221,58,39,3
222,112,61,2
223,146,73,0
224,199,145,10
225,221,160,10
226,91,57,2
227,47,31,0
228,42,37,0
229,36,25,4
230,179,93,3
231,58,37,0
232,382,341,16
233,44,41,3
234,33,26,0
235,60,47,1
236,7,4,0
237,38,25,2
238,30,23,0
239,124,83,2
240,26,18,0
241,478,276,13
242,34,22,0
243,7,4,4
244,27,20,0
245,48,38,0
246,39,24,2
247,83,61,3
248,77,53,0
249,67,49,0
250,77,64,0
251,66,29,1
252,36,26,0
253,43,25,2
254,43,32,0
255,31,24,0
256,51,44,3
257,60,45,3
258,364,296,0
259,65,54,0
260,51,36,3
261,18,11,6
262,160,106,12
263,46,28,3
264,91,61,2
265,51,38,3
266,31,19,6
267,134,102,0
268,92,51,0
269,22,13,0
270,63,42,0
271,59,37,2
272,67,42,0
273,326,335,33
274,266,202,0
275,16,9,0
276,84,59,6
277,129,93,0
278,36,24,0
279,266,202,0
280,64,49,0
281,27,21,0
282,36,26,0
283,33,19,2
284,87,55,8
285,37,26,0
286,27,16,3
287,49,33,2
288,50,42,6
289,48,40,6
290,55,47,0
291,67,55,1
292,41,37,0
293,120,104,4
294,272,226,6
295,47,36,0
296,16,12,2
297,21,14,0
298,1,0,0
299,1,0,0
300,359,216,9
301,719,529,31
302,44,25,3
303,93,59,6
304,42,30,4
305,280,192,44
306,221,158,4
307,1,0,0
308,348,233,2
309,80,44,3
310,34,23,0
311,22,11,0
312,26,15,0
313,16,12,0
314,54,35,0
315,193,139,3
316,162,93,5
317,23,9,4
318,140,96,0
319,64,35,4
320,98,74,5
321,185,131,26
322,70,50,1
323,108,76,8
324,116,84,5
325,86,65,1
326,78,44,3
327,36,29,0
328,218,136,4
329,7,4,4
330,28,21,0
331,136,53,5
332,180,72,5
333,32,22,0
334,35,25,0
335,281,202,1
336,39,25,0
337,85,48,0
338,28,22,0
339,29,23,2
340,307,261,0
341,78,51,0
342,50,32,3
343,32,21,3
344,18,12,7
345,39,26,3
346,145,117,1
347,13,10,0
348,28,20,0
349,124,77,7
350,1,0,0
351,103,63,0
352,113,63,0
353,61,42,4
354,36,24,3
355,20,13,7
356,39,24,3
357,124,77,7
358,108,75,1
359,546,415,29
360,39,29,3
361,71,43,0
362,51,33,3
363,38,22,3
364,18,12,7
365,32,20,3
366,124,77,7
367,1,0,0
368,28,24,0
369,25,20,0
370,35,27,0
371,16,12,2
372,21,14,0
373,1,0,0
374,1,0,0
375,217,164,10
376,37,24,2
377,67,54,2
378,35,25,0
379,60,38,0
380,99,79,0
381,90,56,0
382,206,170,2
383,79,51,8
384,265,206,0
385,48,27,5
386,18,13,0
387,36,27,0
388,15,9,1
389,87,46,6
390,59,41,0
391,127,86,2
392,26,14,0
393,127,87,3
394,17,10,0
395,239,176,12
396,123,63,4
397,40,39,0
398,24,19,0
399,343,284,2
400,234,173,12
401,144,80,4
402,18,10,0
403,41,29,0
404,30,16,0
405,40,22,0
406,90,64,4
407,51,32,0
408,5,4,0
409,901,211,1
410,64,31,0
411,65,31,0
412,76,53,4
413,42,24,0
414,29,23,0
415,17,14,0
416,164,94,7
417,52,46,0
418,531,362,9
419,42,25,2
420,34,20,0
421,72,45,0
422,77,49,3
423,29,22,0
424,84,59,6
425,129,93,0
426,181,110,5
427,302,213,14
428,300,218,14
429,22,13,0
430,201,990,74
431,67,43,3
